category,top_keys
即時,"[('台灣', 75), ('美國', 59), ('武漢', 22), ('金門', 18), ('AZ', 12), ('屏東縣', 12), ('新北市', 11), ('北市', 11), ('高雄', 10), ('日本', 9), ('台東', 9), ('美方', 8), ('金門縣', 8), ('花蓮縣', 7), ('高雄市', 6), ('嘉義縣', 6), ('台南市', 6), ('台中市', 5), ('仁川', 4), ('莫德納', 4), ('台北', 4), ('新竹縣', 4), ('台北市', 4), ('花蓮', 4), ('宜蘭縣', 4), ('台南', 4), ('雲林', 4), ('桃園市', 4), ('新北', 4), ('新竹市', 4), ('彰化縣', 4), ('南投縣', 4), ('南投', 4), ('澎湖縣', 4), ('南韓', 3), ('基隆市', 3), ('嘉義市', 3), ('加拿大', 2), ('馬來西亞', 2), ('台美', 2), ('岡山', 2), ('阿蓮', 2), ('田寮', 2), ('大寮', 2), ('燕巢區', 2), ('那瑪夏', 2), ('鳥松區', 2), ('田納西州曼菲斯', 2), ('金門縣政府', 2), ('大同之家', 2), ('宇美町', 2), ('。竹縣', 2), ('小金門', 2), ('高雄市高市', 2), ('花蓮縣花蓮', 2), ('高市', 2), ('埔里', 2), ('竹市', 2), ('台東縣', 2), (' 屏縣', 2), ('崇德村', 2), ('桃園市桃園', 2), ('基隆市基隆', 2), ('連江縣', 2), ('中市', 2), ('阿里山鄉', 2), ('台中市台中', 2), ('台中', 2), ('彰化縣彰縣', 2), ('苗栗縣', 2), ('雲林縣', 2), ('。屏縣', 2), ('桃市', 2), ('烈嶼鄉', 2), ('屏東', 2), ('宜蘭', 2), ('澎湖', 2), ('台北市北市', 2), ('旅台', 2), ('新竹縣長', 2), ('苗縣府', 2), ('大埔鄉', 2), ('新北市長', 2), ('苗栗', 2), ('台北市長', 2), ('新竹縣新竹縣', 2), ('雲林縣雲縣', 2), ('南投縣南投', 2), ('台東縣台東', 2), ('嘉義市嘉市', 2), ('汐止', 2), ('康乃狄克州', 1), ('松島', 1), ('韓國', 1), ('吉隆坡', 1), ('駐美', 1), ('中國', 1), ('援台', 1), ('Memphis', 1), ('萬華', 1), ('萬華區', 1), ('板橋', 1), ('凡萬華', 1), ('金馬澎', 1), ('台北市萬華', 1), ('板橋區', 1), ('板橋人', 1), ('萬芳', 1), ('屏東縣長', 1), ('雙北', 1), ('屏東縣屏東', 1), ('北市府', 1)]"
熱門,"[('台灣', 46), ('武漢', 42), ('美國', 31), ('台中市', 17), ('高雄', 17), ('新北市', 14), ('北市', 13), ('台南市', 13), ('嘉義縣', 12), ('屏東縣', 11), ('花蓮縣', 10), ('金門', 10), ('宜蘭縣', 10), ('日本', 10), ('南投縣', 10), ('高雄市', 10), ('台南', 10), ('基隆市', 8), ('台北市', 8), ('桃園市', 8), ('莫德納', 8), ('金門縣', 7), ('苗栗縣', 7), ('新北', 7), ('AZ', 7), ('台東', 6), ('台北', 6), ('新竹市', 6), ('新竹縣', 6), ('南投', 6), ('基隆', 6), ('彰化縣', 6), ('屏東縣長', 5), ('中市', 5), ('台中', 5), ('屏東', 5), ('二林', 5), ('嘉義市', 4), ('馬祖', 4), ('雲嘉南', 4), ('澎湖縣', 4), ('彰化', 4), ('萬華', 3), ('苗栗', 3), ('連江縣', 3), ('宜蘭', 3), ('台東縣', 3), ('花蓮', 3), ('高市', 3), ('雲林縣', 3), ('澎湖', 3), ('新竹縣長', 3), ('竹市', 3), ('汐止', 2), ('萬華區', 2), ('雙北', 2), ('竹苗', 2), ('高屏', 2), ('美方', 2), ('南投縣竹山', 2), ('桃市府', 2), ('全國', 2), ('澎湖縣澎湖縣', 2), ('十帖桃園', 2), ('雲林縣府', 2), ('馬公北辰市場', 2), ('租金頭城', 2), ('彰化縣府', 2), (' 經部', 2), ('冬山鄉長', 2), ('頭城', 2), ('新竹縣竹縣', 2), ('冬山', 2), ('新竹', 2), ('馬公', 2), ('嘉義縣府', 2), ('竹山', 2), ('金門縣長', 2), ('嘉義', 2), ('宜蘭市', 2), ('屏縣', 2), ('雲林', 2), ('板橋', 1), ('凡萬華', 1), ('金馬澎', 1), ('台北市萬華', 1), ('板橋區', 1), ('板橋人', 1), ('萬芳', 1), ('屏東縣屏東', 1), ('北市府', 1), ('梅山鄉', 1), ('桃園桃園', 1), ('新北市新莊區', 1), ('彰化南彰化醫院彰化縣', 1), ('桃園', 1), ('扺台', 1), ('鹿港', 1), ('彰化市公所', 1), ('台南市長', 1), ('Ct', 1), ('盧森堡', 1), ('宇美町', 1), ('。竹縣', 1), ('小金門', 1), ('高雄市高市', 1), ('花蓮縣花蓮', 1), ('埔里', 1), (' 屏縣', 1), ('崇德村', 1), ('桃園市桃園', 1), ('基隆市基隆', 1), ('阿里山鄉', 1), ('台中市台中', 1), ('彰化縣彰縣', 1), ('。屏縣', 1), ('桃市', 1), ('烈嶼鄉', 1), ('台北市北市', 1), ('旅台', 1), ('苗縣府', 1), ('大埔鄉', 1), ('新北市長', 1), ('台北市長', 1), ('新竹縣新竹縣', 1), ('雲林縣雲縣', 1), ('南投縣南投', 1), ('台東縣台東', 1), ('嘉義市嘉市', 1), ('新北市新店區', 1), ('外縣市', 1)]"
生活,"[('台灣', 28), ('中國', 28), ('美國', 23), ('武漢', 23), ('台北', 7), ('新北市', 5), ('萬華', 3), ('高雄', 3), ('北市', 3), ('台中市', 3), ('法國', 3), ('英國', 3), ('台北市', 3), ('日本', 2), ('莫德納', 2), ('萬華區', 2), ('反華', 2), ('汐止', 2), ('金門縣', 2), ('基隆市', 2), ('雙北', 2), ('苗栗縣', 2), ('盧森堡', 1), ('桃園桃園', 1), ('花蓮', 1), ('新北', 1), ('新北市新莊區', 1), ('彰化南彰化醫院彰化縣', 1), ('桃園', 1), ('彰化', 1), ('香港', 1), ('阿拉斯加州', 1), ('中方', 1), ('板橋', 1), ('凡萬華', 1), ('金馬澎', 1), ('台東', 1), ('台北市萬華', 1), ('板橋區', 1), ('嘉義市', 1), ('板橋人', 1), ('花蓮縣', 1), ('萬芳', 1), ('屏東縣長', 1), ('屏東縣屏東', 1), ('北市府', 1), ('新疆', 1), ('立陶宛', 1), ('Glasgow', 1), ('格拉斯哥', 1), ('蘇格蘭', 1), ('印度', 1), ('維吉尼亞州', 1), ('維吉尼亞州庫爾佩珀', 1), ('新竹縣', 1), ('新竹市', 1), ('桃園市', 1), ('基隆', 1), ('高雄市', 1)]"
社會,"[('台灣', 56), ('美國', 44), ('美方', 7), ('中國', 5), ('香港', 3), ('鳳山區', 2), ('四川', 2), ('頭份', 2), ('武漢', 2), ('莫德納', 2), ('台南', 1), ('高雄市', 1), ('高市', 1), ('台中', 1), ('宜蘭縣三星鄉', 1), ('三星鄉', 1), ('三星', 1), ('台北市', 1), ('苗栗縣頭份市', 1), ('北市中山區', 1), ('桃園', 1), ('苗栗縣', 1), ('新北市', 1), ('新莊區', 1), ('新北市新莊', 1), ('金湖', 1), ('金門縣政府', 1), ('金門', 1), ('金沙鎮', 1), ('金門湖', 1), ('大甲', 1), ('大台中', 1), ('台中市', 1), ('日本', 1), ('台美', 1), ('駐美', 1), ('援台', 1), ('台北', 1), ('田納西州曼菲斯', 1)]"
政治,"[('台灣', 72), ('美國', 35), ('武漢', 11), ('中國', 10), ('印度', 8), ('日本', 5), ('台北', 4), ('中華民國', 3), ('田納西州曼菲斯', 2), ('莫德納', 2), ('台中市', 2), ('台北市', 2), ('苗栗縣', 2), ('大安區', 2), ('東京都', 2), ('東京', 2), ('香港', 2), ('Memphis', 1), ('美方', 1), ('台美', 1), ('屏東縣長', 1), ('泰國', 1), ('越南', 1), ('南韓', 1), ('黎巴嫩', 1), ('澳洲', 1), ('北馬其頓', 1), ('阿爾巴尼亞', 1), ('塞爾維亞', 1), ('以色列', 1), ('台中', 1), ('台中市府', 1), ('禾馨台北市', 1), ('北市', 1), ('英國', 1), ('上海', 1), ('北京', 1), ('港府', 1)]"
國際,"[('中國', 15), ('台灣', 14), ('美國', 14), ('武漢', 12), ('澳洲', 9), ('英國', 8), ('馬來西亞', 8), ('法國', 6), ('澳門', 6), ('北京', 5), ('巴西', 5), ('祕魯', 5), ('比利時', 4), ('義大利', 4), ('香港', 4), ('日本', 4), ('北韓', 4), ('布列塔尼', 3), ('印度', 3), ('大馬', 3), ('加州', 3), ('越南', 3), ('南韓', 3), ('富山市', 3), ('平壤', 3), ('新加坡', 2), ('中方', 2), ('臨夏', 2), ('朝鮮', 2), ('加拿大', 2), ('Brittany', 1), ('伊勒-維萊訥省', 1), ('德國', 1), ('河北省', 1), ('巴黎', 1), ('廣州', 1), ('佛山', 1), ('西伯利亞克麥羅沃', 1), ('俄羅斯', 1), ('俄羅斯西伯利亞', 1), ('韓籍', 1), ('仁川', 1), ('華盛頓', 1), ('納斯卡線', 1), ('Arequipa', 1), ('阿雷基帕市', 1), ('富山縣', 1), ('康乃狄克州', 1), ('吉隆坡', 1), ('布里斯本', 1)]"
蒐奇,"[('武漢', 14), ('金門', 9), ('新北市', 7), ('北市', 7), ('屏東縣', 6), ('AZ', 6), ('鳥松區', 5), ('高雄', 5), ('金門縣', 5), ('台東', 5), ('澳洲', 4), ('中國', 4), ('台灣', 4), ('日本', 4), ('花蓮縣', 4), ('高雄市', 3), ('台南市', 3), ('台中市', 3), ('嘉義縣', 3), ('美國', 2), ('以色列', 2), ('吉林', 2), ('桃園市', 2), ('花蓮', 2), ('宜蘭縣', 2), ('彰化縣', 2), ('澎湖縣', 2), ('南投', 2), ('南投縣', 2), ('台北市', 2), ('新竹市', 2), ('嘉義市', 2), ('新北', 2), ('台南', 2), ('雲林', 2), ('新竹縣', 2), ('基隆市', 2), ('汐止', 2), ('台北', 2), ('維吉尼亞州', 1), ('維吉尼亞州庫爾佩珀', 1), ('巴黎', 1), ('印尼', 1), ('雪梨', 1), ('まい', 1), ('聖保羅', 1), ('Salinopolis', 1), ('巴西', 1), ('薩利諾波利斯城', 1), ('巴布亞新幾內亞', 1), ('貝爾謝巴市', 1), ('Beersheba', 1), ('吉林省', 1), ('高市鳳山區鎮', 1), ('鳳山', 1), ('。鳳山區鎮', 1), ('北里', 1), ('岡山', 1), ('阿蓮', 1), ('田寮', 1), ('大寮', 1), ('燕巢區', 1), ('那瑪夏', 1), ('金門縣政府', 1), ('大同之家', 1), ('旅台', 1), ('連江縣', 1), (' 屏縣', 1), ('南投縣南投', 1), ('桃市', 1), ('竹市', 1), ('。屏縣', 1), ('高雄市高市', 1), ('雲林縣', 1), ('埔里', 1), ('新竹縣新竹縣', 1), ('台東縣台東', 1), ('台北市北市', 1), ('新竹縣長', 1), ('宇美町', 1), ('台中市台中', 1), ('莫德納', 1), ('台東縣', 1), ('雲林縣雲縣', 1), ('苗栗縣', 1), ('花蓮縣花蓮', 1), ('基隆市基隆', 1), ('澎湖', 1), ('。竹縣', 1), ('苗栗', 1), ('小金門', 1), ('台中', 1), ('桃園市桃園', 1), ('崇德村', 1), ('中市', 1), ('嘉義市嘉市', 1), ('苗縣府', 1), ('屏東', 1), ('宜蘭', 1), ('新北市長', 1), ('烈嶼鄉', 1), ('大埔鄉', 1), ('阿里山鄉', 1), ('台北市長', 1), ('高市', 1), ('彰化縣彰縣', 1), ('板橋人', 1), ('屏東縣屏東', 1), ('台北市萬華', 1), ('凡萬華', 1), ('板橋區', 1), ('萬華區', 1), ('板橋', 1), ('萬華', 1), ('雙北', 1), ('金馬澎', 1), ('萬芳', 1), ('屏東縣長', 1), ('北市府', 1)]"
地方,"[('台灣', 19), ('台中市', 9), ('武漢', 8), ('嘉義縣', 7), ('高雄', 6), ('高雄市', 6), ('台南', 6), ('美國', 6), ('台南市', 5), ('二林', 5), ('南投縣', 4), ('台中', 3), ('台北市', 3), ('彰化縣', 3), ('宜蘭縣', 3), ('北市', 3), ('中市', 3), ('基隆', 3), ('日本', 2), ('屏東縣長', 2), ('屏東縣', 2), ('屏東', 2), ('桃園市', 2), ('新北市', 2), ('基隆市', 2), ('南投', 2), ('苗栗縣', 2), ('花蓮縣', 2), ('高市', 2), ('彰化', 2), ('屏縣', 2), ('鳳山區', 2), ('梅山鄉', 1), ('雲嘉南', 1), ('冬山鄉長', 1), ('澎湖縣澎湖縣', 1), ('新北', 1), ('新竹縣竹縣', 1), ('彰化縣府', 1), ('金門縣長', 1), ('全國', 1), ('新竹市', 1), ('馬公', 1), ('頭城', 1), ('嘉義', 1), ('嘉義市', 1), ('桃市府', 1), ('金門縣', 1), ('冬山', 1), ('租金頭城', 1), (' 經部', 1), ('金門', 1), ('馬公北辰市場', 1), ('雲林縣府', 1), ('宜蘭市', 1), ('馬祖', 1), ('南投縣竹山', 1), ('竹山', 1), ('新竹', 1), ('雲林縣', 1), ('嘉義縣府', 1), ('新竹縣', 1), ('新竹縣長', 1), ('澎湖', 1), ('十帖桃園', 1), ('竹市', 1), ('扺台', 1), ('台中市大雅區', 1), ('彰化市公所', 1), ('鹿港', 1), ('台南市長', 1), ('泰國', 1), ('越南', 1), ('南韓', 1), ('黎巴嫩', 1), ('澳洲', 1), ('北馬其頓', 1), ('阿爾巴尼亞', 1), ('中國', 1), ('塞爾維亞', 1), ('中華民國', 1), ('以色列', 1), ('台中市府', 1), ('台北', 1), ('雙北', 1)]"
全部,"[('台灣', 314), ('美國', 214), ('武漢', 134), ('中國', 64), ('高雄', 41), ('新北市', 40), ('台中市', 40), ('金門', 39), ('北市', 38), ('日本', 37), ('屏東縣', 31), ('嘉義縣', 28), ('高雄市', 27), ('台南市', 27), ('台北', 25), ('AZ', 25), ('花蓮縣', 24), ('金門縣', 23), ('台北市', 23), ('台南', 23), ('台東', 21), ('南投縣', 20), ('莫德納', 19), ('宜蘭縣', 19), ('美方', 18), ('基隆市', 17), ('桃園市', 17), ('苗栗縣', 17), ('新北', 15), ('彰化縣', 15), ('澳洲', 15), ('新竹縣', 14), ('新竹市', 14), ('南投', 14), ('台中', 13), ('英國', 12), ('印度', 12), ('嘉義市', 11), ('中市', 11), ('屏東縣長', 11), ('馬來西亞', 10), ('花蓮', 10), ('屏東', 10), ('澎湖縣', 10), ('基隆', 10), ('二林', 10), ('香港', 10), ('高市', 9), ('法國', 9), ('南韓', 8), ('雲林', 8), ('汐止', 8), ('萬華', 8), ('鳥松區', 7), ('竹市', 7), ('雲林縣', 7), ('澎湖', 7), ('新竹縣長', 7), ('雙北', 7), ('彰化', 7), ('台東縣', 6), ('連江縣', 6), ('宜蘭', 6), ('苗栗', 6), ('萬華區', 6), ('北京', 6), ('澳門', 6), ('巴西', 6), ('仁川', 5), ('田納西州曼菲斯', 5), ('馬祖', 5), ('雲嘉南', 5), ('越南', 5), ('祕魯', 5), ('加拿大', 4), ('台美', 4), ('金門縣政府', 4), ('宇美町', 4), ('。竹縣', 4), ('小金門', 4), ('高雄市高市', 4), ('花蓮縣花蓮', 4), ('埔里', 4), (' 屏縣', 4), ('崇德村', 4), ('桃園市桃園', 4), ('基隆市基隆', 4), ('阿里山鄉', 4), ('台中市台中', 4), ('彰化縣彰縣', 4), ('。屏縣', 4), ('桃市', 4), ('烈嶼鄉', 4), ('台北市北市', 4), ('旅台', 4), ('苗縣府', 4), ('大埔鄉', 4), ('新北市長', 4), ('台北市長', 4), ('新竹縣新竹縣', 4), ('雲林縣雲縣', 4), ('南投縣南投', 4), ('台東縣台東', 4), ('嘉義市嘉市', 4), ('板橋', 4), ('凡萬華', 4), ('金馬澎', 4), ('台北市萬華', 4), ('板橋區', 4), ('板橋人', 4), ('萬芳', 4), ('屏東縣屏東', 4), ('北市府', 4), ('屏縣', 4), ('鳳山區', 4), ('中華民國', 4), ('以色列', 4), ('比利時', 4), ('義大利', 4), ('北韓', 4), ('岡山', 3), ('阿蓮', 3), ('田寮', 3), ('大寮', 3), ('燕巢區', 3), ('那瑪夏', 3), ('大同之家', 3), ('桃園', 3), ('南投縣竹山', 3), ('桃市府', 3), ('全國', 3), ('澎湖縣澎湖縣', 3), ('十帖桃園', 3), ('雲林縣府', 3), ('馬公北辰市場', 3), ('租金頭城', 3), ('彰化縣府', 3), (' 經部', 3), ('冬山鄉長', 3), ('頭城', 3), ('新竹縣竹縣', 3), ('冬山', 3), ('新竹', 3), ('馬公', 3), ('嘉義縣府', 3), ('竹山', 3), ('金門縣長', 3), ('嘉義', 3), ('宜蘭市', 3), ('中方', 3), ('布列塔尼', 3), ('大馬', 3), ('加州', 3), ('富山市', 3), ('平壤', 3), ('康乃狄克州', 2), ('吉隆坡', 2), ('駐美', 2), ('援台', 2), ('Memphis', 2), ('竹苗', 2), ('高屏', 2), ('梅山鄉', 2), ('桃園桃園', 2), ('新北市新莊區', 2), ('彰化南彰化醫院彰化縣', 2), ('扺台', 2), ('鹿港', 2), ('彰化市公所', 2), ('台南市長', 2), ('盧森堡', 2), ('反華', 2), ('維吉尼亞州', 2), ('維吉尼亞州庫爾佩珀', 2), ('四川', 2), ('頭份', 2), ('泰國', 2), ('黎巴嫩', 2), ('北馬其頓', 2), ('阿爾巴尼亞', 2), ('塞爾維亞', 2), ('台中市府', 2), ('大安區', 2), ('東京都', 2), ('東京', 2), ('新加坡', 2), ('巴黎', 2), ('臨夏', 2), ('朝鮮', 2), ('吉林', 2), ('松島', 1), ('韓國', 1), ('Ct', 1), ('新北市新店區', 1), ('外縣市', 1), ('阿拉斯加州', 1), ('新疆', 1), ('立陶宛', 1), ('Glasgow', 1), ('格拉斯哥', 1)]"
